chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A	TCGA.A2.A0ET.01A	TCGA.A8.A06N.01A	TCGA.A8.A06Y.01A	TCGA.A8.A06Z.01A	TCGA.A8.A081.01A	TCGA.A8.A083.01A	TCGA.A8.A08J.01A	TCGA.A8.A09X.01A	TCGA.AN.A04D.01A	TCGA.AN.A0FJ.01A	TCGA.AN.A0FV.01A	TCGA.AN.A0FZ.01A	TCGA.AO.A0J2.01A	TCGA.AO.A0J3.01A	TCGA.AO.A0J6.01A	TCGA.AO.A0JC.01A	TCGA.AO.A0JI.01A	TCGA.AO.A0JL.01A	TCGA.AO.A124.01A	TCGA.AO.A125.01A	TCGA.AO.A12B.01A	TCGA.AO.A12D.01A	TCGA.AO.A12H.01A	TCGA.AQ.A04L.01B	TCGA.AR.A0TP.01A	TCGA.AR.A0TR.01A	TCGA.AR.A0TV.01A	TCGA.AR.A1AI.01A	TCGA.AR.A1AS.01A	TCGA.B6.A0I2.01A	TCGA.B6.A0IA.01A	TCGA.B6.A0IC.01A	TCGA.B6.A0RL.01A	TCGA.B6.A0RM.01A	TCGA.B6.A0RS.01A	TCGA.B6.A0X4.01A	TCGA.B6.A0X5.01A	TCGA.BH.A0DL.01A	TCGA.BH.A0E0.01A	TCGA.BH.A0EE.01A	TCGA.BH.A0HW.01A	TCGA.BH.A18N.01A	TCGA.C8.A12L.01A	TCGA.C8.A12M.01A	TCGA.C8.A12P.01A	TCGA.C8.A12U.01A	TCGA.C8.A133.01A	TCGA.D8.A13Y.01A	TCGA.D8.A13Z.01A	TCGA.E2.A14Y.01A	TCGA.E2.A158.01A	TCGA.E2.A15K.06A	TCGA.E2.A15R.01A	TCGA.E2.A1B0.01A
1	16215490	HSPB7	-0.989	-1.169	1.106	-1.216	-0.549	-1.319	0.364	-1.115	-1.645	-0.874	-1.047	-1.635	-0.782	-0.367	-1.762	-0.025	1.129	-0.862	0.752	-1.673	-0.625	-1.005	-0.628	-0.441	-1.224	-1.525	-0.46	0.166	-0.872	0.265	1.347	-1.102	-0.926	-1.515	0.313	-1.192	0.318	-0.677	-1.386	4.12	0.277	-0.496	-0.788	-0.814	0.18	-1.481	-1.025	0.406	-1.13	-2.194	-0.001	-1.357	-0.44	1.522	0.235	-0.952	-0.629	-1.104	-0.584	1.107
1	17292188	PADI2	0.994	2.514	0.672	2.171	0.747	1.573	-1.107	-1.305	-1.578	-1.433	1.554	-1.675	1.353	2.733	1.511	0.887	1.302	-0.862	1.302	-1.039	1.736	-1.814	-2.052	1.139	1.594	-1.133	-1.582	0.325	-1.268	2.48	2.495	-1.105	-0.708	2.429	0.215	0.672	-1.385	-1.132	-0.899	0.447	1.697	-1.664	-1.598	0.084	1.296	2.798	-1.571	-1.075	-0.799	-1.729	2.258	-0.852	-1.169	-0.085	2.186	-0.252	1.087	-0.448	0.214	1.899
1	17990270	ACTL8	2.255	6.663	1.709	0.161	-0.783	-0.34	-0.752	-0.988	1.615	-0.079	-0.792	-1.033	-0.146	4.632	-1.051	-0.45	0.936	0.434	3.145	1.149	0.193	-0.483	0.194	2.495	-0.549	-0.555	-0.368	2.827	-0.451	-0.526	0.475	-0.121	-0.052	1.573	1.803	1.068	0.503	1.72	-0.287	-0.58	1.89	1.123	-0.437	2.172	2.472	-0.392	-0.333	-0.889	-0.794	0.499	3.666	1.459	5.678	-0.722	-0.381	1.973	0.3	2.535	2.246	2.57
1	18442195	IGSF21	1.86	1.175	2.686	-2.369	-0.039	2.653	0.129	-0.014	-0.564	2.364	-1.608	2.075	0.431	1.606	-1.816	-1.523	0.381	-0.643	1.019	-1.086	0.791	-2.471	-1.814	0.529	-1.66	1.179	0.117	1.751	0.023	-0.017	-1.511	0.865	-2.123	-1.916	1.744	-0.425	-0.337	2.551	-1.649	2.547	1.302	-1.56	2.186	-1.254	-3.291	-2.03	-1.7	-0.046	-1.749	-2.56	-0.593	-3.556	-0.703	0.964	-0.175	-2.036	-1.906	2.455	-1.102	-0.719
1	19484755	AKR7A3	-1.418	-1.083	-1.56	-1.171	1.79	-1.542	-0.192	2.478	-0.267	1.349	1.223	-0.062	1.252	0.743	-2.372	-0.906	2.022	1.922	-0.871	2.25	-1.682	-0.526	-0.62	-2.42	-2.167	0.352	2.062	-1.063	0.646	-0.296	-0.969	1.573	-0.552	-0.708	0.002	-2.617	1.47	-0.399	0.292	3.652	-1.585	2.311	1.849	-1.356	-0.679	0.173	0.928	0.466	-1.683	2.562	-0.419	0.83	3.316	-0.304	-0.997	-1.2	-1.899	1.432	-1.716	-1.457
1	20013733	RNF186	1.78	-0.49	-0.282	0.196	1.061	-0.584	-0.575	-0.678	0.057	-0.445	-0.671	-0.944	-0.684	-0.674	0.392	5.937	-0.299	-0.792	-0.724	-0.17	-0.47	-0.605	-0.46	-1.839	-0.138	-0.494	-0.258	-0.701	-0.426	0.297	1.028	-0.631	-0.434	-1.697	-0.562	1.16	-1.647	-0.485	-0.255	-0.177	0.321	-0.062	-0.196	-0.595	-0.305	-0.364	-0.39	-0.468	-0.276	-0.326	-0.365	-0.559	-0.448	1.523	0.099	-0.776	-0.17	-0.799	0.926	-0.19
1	20177014	PLA2G2A	-1.427	-0.621	-0.555	-0.209	-1.041	-0.179	-0.304	-1.455	-1.636	-0.876	0.438	-0.364	-1.722	1.434	-0.701	-0.2	0.908	-0.224	0.956	-1.568	0.565	3.541	-3.599	0.2	-1.299	-1.436	-1.246	4.832	-1.023	5.151	-1.445	-1.95	-1.129	-2.068	-2.095	5.5	-0.677	-1.482	-1.933	-0.496	3.672	-0.631	-0.371	-0.595	-0.36	2.955	-0.286	-1.642	2.854	-0.638	2.539	-1.191	0.114	-1.637	2.083	1.65	-0.481	0.067	-0.858	1.691
1	22329245	WNT4	-1.016	-2.491	-1.704	-0.228	0.25	0.917	0.72	0.106	-1.491	-0.715	-0.614	1.208	-2.464	1.202	-0.685	0.854	-0.981	0.686	-0.311	1.58	1.123	-2.081	1.734	-0.012	-1.477	-0.472	-0.565	-1.973	-1.319	-2.451	-0.327	-0.523	-2.238	1.397	-1.964	-2.537	1.011	1.065	0.447	1.258	-0.591	-0.562	0.567	0.808	1.864	-2.058	1.773	-1.114	-1.147	-0.076	-2.239	-1.955	-0.23	-0.017	-0.441	0.356	-1.646	-0.788	1.609	-1.274
1	24536518	GRHL3	-0.59	0.687	0.612	-1.379	-1.199	-0.556	-1.037	-1.248	0.124	-2.606	-1.26	0.494	-1.504	-0.117	-1.139	0.966	-1.071	-1.058	0.567	-1.36	-0.031	-2.176	-2.74	2.288	0.891	-0.107	-0.837	1.079	0.528	-2.037	-0.644	-0.087	-0.536	2.628	-2.031	-0.742	-0.986	1.053	-0.595	0.552	1.014	-1.208	-2.052	3.789	2.15	1.031	-1.662	-0.447	-0.214	-1.859	0.954	-0.883	-0.647	-1.733	1.557	1.461	-1.88	1.843	-1.796	1.211
1	25113972	RUNX3	-1.536	-1.898	0.704	2.179	-1.739	1.49	0.067	-2.431	-2.344	-1.544	0.24	-1.861	-0.21	1.224	-0.142	0.099	-0.804	-1.624	0.015	-1.675	0.502	3.271	-0.503	-1.29	-0.025	-2.994	-1.656	1.162	-1.423	-1.238	1.539	-0.941	0.964	1.156	-1.737	1.353	-1.701	-1.097	-2.502	-1.498	0.828	-1.65	-1.948	1.99	-0.949	0.24	-2.271	-1.93	0.695	-1.022	-0.322	-0.371	-2.43	0.189	1.206	3.63	2.567	0.051	-1.513	1.705
1	25900195	MAN1C1	1.25	-1.322	1.779	-2.314	-1.337	-1.162	0.704	2.713	-2.323	0.863	-1.204	2.675	-0.552	-0.257	-1.764	-1.885	2.012	2.353	-1.292	1.246	-1.237	0.976	-1.242	-2.076	-1.836	1.267	1.789	-0.429	0.249	-0.626	0.818	-1.313	0.767	-1.416	0.323	-1.531	-1.146	1.712	0.565	0.428	0.304	0.065	1.631	-1.557	-1.796	-1.103	-0.892	2.095	-0.527	-1.12	0.335	-0.985	-2.318	0.14	-0.023	-2.55	-2.495	0.828	0.465	-0.806
1	26228199	EXTL1	-1.707	0.735	-0.258	1.812	0.603	-1.414	-1.667	0.49	-0.662	-1.664	0.543	0.038	1.42	0.199	0.54	-1.704	1.718	1.788	1.993	0.139	-2.052	-1.738	-1.392	5.268	-0.945	0.751	-1.438	-0.591	2.366	0.541	4.689	-1.474	0.376	-1.637	-0.18	0.08	-0.735	3.341	-1.421	0.561	0.107	1.16	-0.753	-1.449	-0.05	-1.586	0.489	-0.01	-1.683	1.676	-0.136	0.493	3.641	2.312	0.216	-0.904	3.561	2.314	1.335	0.386
1	26258547	TRIM63	-2.614	-1.535	-0.64	-1.516	-0.469	-1.07	-0.15	-1.48	-1.21	-1.691	1.266	-2.028	-1.286	4.659	-1.94	-1.872	1.567	3.001	-0.543	0.288	0.173	0.792	5.531	-0.573	-1.732	-1.423	-0.034	-1.034	1.366	-0.366	-1.927	-0.217	-1.906	-1.357	-1.499	-1.15	-1.163	-0.018	1.157	5.745	-0.939	0.233	-1.2	0.881	0.598	0.014	-0.452	-1.413	-1.538	-0.73	-1.12	-0.026	-0.725	-1.524	0.318	-0.411	-1.12	1.445	-0.769	-0.285
1	26518299	CD52	-3.722	-0.992	-0.875	-0.254	-1.006	2.414	0.011	-2.552	-2.59	-2.18	1.418	-1.932	-1.323	0.979	-2.42	-0.744	-2.925	-2.192	0.528	-1.954	0.651	4.442	-0.146	-1.398	-1.662	-4.236	-2.069	0.528	-2.465	-1.363	-1.698	-0.136	0.663	1.355	-1.706	1.543	-2.751	-3.673	-2.221	-0.628	0.713	-3.505	-1.014	0.904	0.689	0.073	-2.344	-3.278	-0.025	-0.346	-0.416	0.872	-3.311	-2.02	1.031	-0.887	-1.752	-1.508	-2.012	1.042
1	26566282	ZNF683	-2.835	-0.16	-0.683	-0.026	1.058	1.499	0.38	-1.117	-0.776	-1.684	1.479	-0.739	-0.165	0.685	-2.676	-0.125	-2.609	-1.79	1.389	0.182	1.221	0.195	-1.647	-0.174	-2.191	-2.633	-1.216	1.811	-0.48	-1.739	-3.766	-1.435	0.407	0.581	-2.529	1.059	-2.168	-1.639	-2.813	-1.698	0.869	-2.368	-2.022	0.224	-1.78	0.923	-3.442	-1.132	-0.272	0.131	0.534	0.53	-0.965	-3.579	0.59	0.317	-0.56	-1.732	-2.354	0.856
1	27208008	FAM46B	-0.41	-0.885	1.054	-1.071	-1.466	-1.913	-3.577	-0.691	1.114	0.158	-0.368	0.665	-2.947	-1.774	0.505	-0.318	-2.976	-0.729	-1.141	-1.218	-0.832	-2.781	-1.528	0.371	-0.29	1.237	0.503	0.351	0.358	1.578	0.367	0.678	-1	0.492	1.047	0.11	-1.309	0.715	-0.954	0.57	0.131	-1.484	-1.39	0.472	0.909	1.198	-1.088	0.917	-0.557	-3.553	-0.221	-1.779	-0.817	-2.507	0.1	0.688	-0.616	-0.359	-3.197	0.197
1	27868234	IFI6	-2.681	-0.823	-1.834	0.349	0.264	0.67	0.662	2.281	-0.085	0.148	0.876	2.296	2.354	0.26	-2.103	-2.722	0.39	-0.835	1.371	1.338	0.828	-1.089	0.281	-1.941	0.607	-0.373	2.096	0.549	1.085	-1.344	-1.863	-0.992	1.375	-0.057	-1.354	-0.378	0.366	0.324	0.667	-1.421	-0.593	1.497	-1.448	1.208	-2.208	2.338	1.173	-0.289	-2.934	-2.446	1.289	1.408	2.649	-2.46	2.34	1.516	-1.775	0.000833	-1.156	-0.517
1	31983770	BAI2	1.219	-1.019	0.295	-1.912	-1.497	-1.111	-0.144	0.196	-1.217	2.092	-0.298	2.194	-0.568	-1.627	0.622	0.052	-0.003	0.157	1.312	1.188	-0.882	-0.71	-0.833	-0.577	-2.284	1.734	0.709	-1.265	0.635	0.081	-0.121	0.007	-1.459	-0.794	1.303	-1.027	1.079	2.351	-0.639	-1.896	-1.778	2.131	0.009	-1.208	-0.583	-2.489	0.339	1.807	-2.61	-1.125	-0.892	1.537	1.569	1.035	-0.962	-1.902	-2.606	2.282	0.043	-1.278
1	32041389	SPOCD1	-0.596	-1.134	0.809	-0.729	0.805	-1.063	-0.53	-1.747	0.125	3.016	-0.58	-1.558	0.91	-0.447	-1.3	-0.798	0.841	2.581	0.332	-1.216	-1.119	-1.204	-1.818	1.302	1.173	-1.427	-1.421	0.119	-2.146	1.164	-0.749	1.447	-1.804	-1.219	1.048	-1.013	0.015	-0.739	-1.872	-1.896	0.222	-0.545	-0.619	-0.121	-0.916	-0.357	-0.86	-1.51	0.125	-1.762	0.835	3.483	-1.833	-1.31	1.076	0.865	-0.798	2.111	-1.998	1.934
1	32506890	LCK	0.523	-0.541	-1.127	0.442	-0.903	2.569	-0.099	-2.137	-1.687	-1.882	1.825	-1.437	-0.824	1.391	2.433	0.813	-1.563	-1.544	0.567	-1.469	0.927	4.505	-1.174	-1.182	0.858	-2.404	-1.131	1.588	-1.628	-1.15	-1.973	0.139	0.923	1.869	-1.955	1.808	-2.199	-2.114	-2.344	-0.882	0.456	-1.869	-1.793	1.124	0.312	-0.328	-2.422	-2.187	-0.72	0.35	-0.111	0.802	-2.025	-2.032	0.664	-0.487	0.184	-1.973	-2.087	0.203
1	34994967	GJB5	3.349	-0.809	3.557	0.487	-0.641	1.82	-1.545	-1.539	-0.83	-0.433	3.512	-1.818	1.911	3.188	-0.535	5.011	4.208	2.16	-1.577	-1.255	2.739	-2.703	-0.785	-1.428	4.392	-0.758	-1.496	3.296	0.994	-1.291	-0.567	-1.606	-1.91	3.328	-1.796	3.323	-0.13	-1.852	-0.608	-0.085	-1.784	0.571	0.421	5.695	3.502	-1.523	-2.31	-2.221	0.129	-1.552	3.287	-0.994	-1.34	0.708	4.375	5.527	4.877	-1.856	-0.929	-0.586
1	36324362	TEKT2	0.895	1.04	-1.55	-0.013	-0.404	0.357	1.656	1.917	1.552	0.034	2.674	2.706	0.756	-3.471	-0.586	2.636	-0.801	1.235	-1.324	-1.851	-1.069	-1.855	-3.279	-2.228	-1.478	1.546	-2.209	-1.561	-1.46	1.454	-0.19	0.957	2.043	-1.258	0.051	-1.403	2.091	1.489	1.091	0.264	-1.367	2.133	-1.507	-1.901	-2.1	-0.076	-0.311	-0.1	-1.446	-2.033	0.622	-1.167	-1.236	3.151	1.739	-1.708	1.696	1.852	0.646	-1.377
1	36335933	COL8A2	-1.892	-3.12	1.101	-0.947	-0.852	-1.415	-2.134	-4	-2.315	-2.13	-1.389	-1.465	0.887	0.314	-2.644	2.059	0.882	0.214	-0.885	-2.066	-1.985	-1.404	-2.008	-1.98	-1.117	-3.781	-1.554	0.444	-1.04	0.883	0.453	-3.264	-0.531	-0.365	-0.165	-2.064	-0.45	-2.213	-3.471	-0.539	-0.989	-1.504	-0.605	-1.555	-2.628	-3.834	-3.008	-0.652	-0.722	-2.286	0.471	-2.188	-2.973	-0.962	0.095	-2.102	-2.132	-3.055	-1.049	-0.107
1	37800076	DNALI1	-5.734	0.913	-3.381	-4.801	-2.932	0.112	0.752	1.3	0.089	0.576	0.053	1.04	0.455	-3.877	-4.268	-0.988	-1.44	0.936	-4.609	0.933	-0.658	-0.202	1.106	-3.643	-1.786	1.585	0.679	-3.419	0.091	-4.357	-5.149	0.735	0.46	-5.624	-0.275	-5.152	-4.148	1.019	1.412	0.416	-4.179	0.849	-1.085	-4.832	-5.119	-4.236	0.865	-0.156	-4.634	0.146	-3.618	-5.441	0.293	-0.102	-2.995	-4.346	-0.071	0.206	-0.311	-3.546
1	41099960	CITED4	-2.519	-0.246	-0.479	0.993	-1.179	-2.708	-2.692	-1.547	-0.603	-3.578	-0.558	-0.583	-3.615	-0.898	2.344	-1.344	-2.875	0.361	-1.301	-2.645	1.483	-0.274	-1.632	2.121	1.043	1.592	-3.205	-3.125	-1.918	-0.518	1.443	0.848	-1.013	0.348	0.304	0.501	0.788	0.821	-3.038	-0.654	0.35	-2.243	-2.159	0.649	0.109	0.499	-2.09	-0.112	-3.802	-2.706	0.359	-2.503	-2.743	-1.829	-0.575	0.087	1.897	0.575	-1.683	-0.236
1	41719982	EDN2	0.663	-2.055	1.223	0.991	1.243	-2.111	-3.11	-2.605	0.48	-0.957	-2.323	-0.388	-2.229	0.156	1.987	-1.273	-1.637	-1.742	0.718	-2.586	-0.222	-4.239	-4.907	1.759	1.603	-0.219	-2.438	0.736	-4.018	1.228	1.091	-2.373	-0.769	1.571	-1.258	-0.786	-0.478	-0.739	-2.605	0.038	0.599	-1.448	-0.611	2.038	2.919	1.468	-2.24	-1.056	0.67	-2.599	-0.522	-3.557	-4.169	1.548	1.519	2.595	-1.399	-0.952	-1.075	2.648
1	45349750	ZSWIM5	0.599	0.03	-0.965	-1.99	-0.722	-1.434	0.979	2.373	0.186	2.777	0.607	0.868	0.464	-0.939	1.128	-0.616	0.506	0.37	-1.018	2.466	0.337	-0.35	1.065	-1.172	-2.567	1.375	1.561	-1.75	1.443	-1.556	-0.306	-0.741	2.228	-2.654	-2.079	-1.903	-1.982	-0.472	1.826	0.629	-1.816	1.486	-2.427	0.667	-0.669	-0.805	1.066	-0.607	0.349	1.844	-2.249	2.043	1.224	1.852	-0.665	-1.551	0.301	-0.013	1.195	-1.554
1	45566032	HPDL	2.386	4.396	-0.659	3.953	-0.042	0.81	-0.994	-0.82	-0.51	-0.507	-0.95	-1.539	-1.006	4.819	1.45	1.162	-0.081	-0.185	4.523	-1.029	3.313	0.373	-0.769	2.728	2.281	-0.963	0.107	1.169	-0.85	2.787	3.004	-1.6	0.517	1.953	-0.048	2.263	0.196	-1.129	-1.359	0.279	3.195	-0.31	0.255	1.77	1.933	2.22	-0.092	-0.531	0.816	-0.616	2.518	-0.709	-0.836	-0.103	1.808	2.282	3.76	-1.266	-0.777	2.087
1	46418778	TSPAN1	-3.219	-4.12	1.436	-2.548	-0.818	0.869	0.558	-2.318	1.078	0.707	0.684	0.493	0.506	-1.87	-3.877	-1.722	-0.461	0.953	-0.001	-3.372	-2.574	-2.73	0.742	-3.462	-3.814	-0.007	-1.413	-1.704	0.992	0.395	-3.041	0.709	0.211	-2.576	0.802	-2.346	-0.013	0.506	-1.664	-1.503	-0.398	1.478	0.388	-0.688	-3.117	1.053	-2.525	-0.671	0.802	-2.737	-1.193	0.324	2.037	0.615	0.883	-1.603	-2.425	1.043	-0.625	-0.056
1	47047432	CYP4B1	-4.473	-5.29	-1.456	-3.004	2.636	-0.061	-1.224	4.523	0.698	-0.629	0.406	-1.528	-0.142	3.166	-1.869	-5.39	0.174	0.647	-1.7	-2.027	-2.281	-1.536	0.723	-4.03	-4.393	1.263	-0.68	1.794	0.91	-1.84	-5.364	1.934	0.252	-4.007	4.195	0.529	1.442	0.195	-0.992	3.13	4.701	2.53	-1.955	-1.486	-2.863	0.567	1.262	-1.28	-1.836	4.294	3.946	2.989	0.617	-4.188	0.984	-2.657	-3.09	0.659	1.289	-3.945
1	47275418	CYP4X1	0.402	-5.29	-0.3	-0.105	-3.861	1.858	1.757	0.473	2.52	-1.528	1.642	2.991	-4.174	-2.658	1.49	-4.517	-2.972	1.654	0.322	1.848	0.368	-2.739	-2.856	-1.867	-2.328	2.609	-0.883	2.371	-2.263	-2.504	-3.077	1.95	-5.324	0.145	2.523	-3.032	2.537	2.275	-2.951	2.098	2.245	1.691	1.495	1.604	-4.832	3.344	-1.56	-4.029	1.061	0.316	0.357	-0.357	0.304	-0.386	-0.616	-2.197	-5.482	2.003	0.618	-2.205
1	47331162	CYP4Z1	-2.506	-4.765	0.105	-1.266	0.216	3.091	1.415	1.139	0.307	-1.367	2.624	2.522	-2.826	2.027	1.151	-4.582	-1.719	0.899	1.379	-2.637	-1.907	-2.996	-2.25	-4.066	-3.184	1.224	-3.797	2.833	-3.453	1.194	-5.242	0.72	-5.068	-0.361	1.562	-4.09	-0.275	2.51	-2.929	1.051	2.69	2.68	-0.816	0.847	-3.993	2.803	-2.67	-3.853	1.06	-1.913	-1.602	-2.486	-0.789	-2.216	-3.526	-3.847	-5.316	1.338	-0.624	0.414
